,gene_symbol,log2fold.CC_vs_HC,p.CC_vs_HC,p.adj.CC_vs_HC,CC_1,CC_2,CC_3,CC_4,CC_5,CC_6,CC_7,CC_8,CC_9,CC_10,CC_11,CC_12,CC_13,CC_14,HC_1,HC_2,HC_3,HC_4,HC_5,HC_6,HC_7,HC_8,HC_9,HC_10,HC_11,HC_12,HC_13,HC_14,mean
ENSG00000134186,PRPF38B,0.045806887,0.728582333,0.841850265,1857.57,937.54,1355.25,1096.78,1571.01,2050,1479.99,3017.81,927,358.35,1555.79,855.62,1505.08,1130.2,1118.31,1670.1,1002.77,1092.05,1312.75,889.52,1218.6,773.52,945.08,972.1,1378.25,1063.33,1071.81,1750.72,1277.242381
ENSG00000177370,TIMM22,0.072128472,0.381696872,0.566993212,2.83,0,0,3.69,1.06,4.97,2.31,4.78,0,3.28,1.17,3.17,1.12,4.57,0,5.5,2.71,4.08,0.8,8.82,3.47,0,1,0.79,0,5.41,8.48,1.8,2.709285714
ENSG00000134193,REG4,0.212156378,0.731337456,0.843683275,74.92,39.2,56.97,72.28,65.9,57.17,48.51,71.74,45.35,63.14,59.66,96.65,50.32,19.41,29.03,24.19,31.17,50.38,24.78,28.05,23.12,45.44,49.16,43.19,21.46,16.92,32.05,40.4,49.08880952
ENSG00000050165,DKK3,-1.582169483,0.000591174,0.007985662,4.24,6.67,6.54,2.95,8.5,2.49,2.31,5.74,2.21,9.02,7.02,6.34,2.24,2.28,2.32,6.6,2.71,0,4.8,2.4,6.94,4.04,0,4.71,3.83,6.09,5.66,3.59,4.156428571
ENSG00000134201,GSTM5,0.363186847,0.604340091,0.752732959,19.79,33.36,14.01,31.72,21.26,18.23,33.11,5.74,19.91,21.32,39.77,36.44,45.85,38.81,34.84,28.59,23.04,30.64,39.97,40.07,34.69,54.53,68.22,14.92,20.7,29.78,30.17,15.26,30.18166667
ENSG00000171056,SOX7,-1.23469698,0.001096226,0.011977453,8688.47,5715.34,6975.18,7026.94,9756.62,8318.5,7100.43,10483.43,4652.68,6811.86,6493.36,9590.92,6354.65,6159,5768.05,4834.4,5809.27,4833.87,6152.8,5065.45,6547.39,4621.94,3603.76,4852.67,4714.25,4704.08,4573.82,5632.83,7081.272381
ENSG00000134222,PSRC1,0.473564649,0.001917351,0.016981556,1.41,4.17,0,2.21,0,0.83,0.77,0,1.11,0.82,1.17,1.58,2.24,0,0,3.3,0,1.36,0.8,0,2.31,1.01,2.01,0,0.77,1.35,0,0,0.983571429
ENSG00000134243,SORT1,0.59576085,0.035434734,0.116593488,2.83,3.34,0,1.48,3.19,0,0,0,1.11,0.82,0,0,0,2.28,2.32,0,0,0.68,0.8,2.4,0,0,0,0,3.07,0.68,0,0.9,1.265
ENSG00000134247,PTGFRN,1.025786733,0.000219713,0.004488459,793.07,1009.28,763.09,775.2,806.76,685.27,750.78,584.43,1027.66,985.66,947.51,752.63,938.16,1316.28,1069.53,1075.29,1178.93,1175.79,1111.28,1233.31,1075.24,1385.47,1159.78,1116.59,1150.58,1001.73,800.32,855.61,954.8707143
ENSG00000134248,LAMTOR5,0.670457602,0.000346486,0.005905601,2280.26,1471.38,1348.71,1244.3,1550.81,840.22,1901.2,1267.39,2078.55,1188.2,1699.67,1194.71,1575.52,1792.33,2075.2,1307.28,2450,1962.14,2053.87,2054.71,3028.01,1716.69,1519.96,1807.58,1631.21,1621.05,1532.78,2313.64,1707.012619
