,gene_symbol,log2fold.FLU_vs_CC,p.FLU_vs_CC,p.adj.FLU_vs_CC,CC_1,CC_2,CC_3,CC_4,CC_5,CC_6,CC_7,CC_8,CC_9,CC_10,CC_11,CC_12,CC_13,CC_14,FLU_1,FLU_2,FLU_3,FLU_4,FLU_5,FLU_6,FLU_7,FLU_8,FLU_9,FLU_10,FLU_11,FLU_12,FLU_13,FLU_14,mean
ENSG00000211592,IGKC,0.78122353,0.02514798,0.173773384,25.45,9.18,18.68,14.01,28.7,3.31,16.17,22.96,12.17,9.02,3.51,20.6,12.3,12.56,6.76,19.02,11.62,21.5,19.36,14.94,21.76,9.33,12.65,8.38,17.92,30.62,14.39,6.27,14.3902381
ENSG00000211593,IGKJ5,0.520017329,0.174497909,0.472521205,1.41,5.84,0,0,0,0,3.08,0.96,1.11,0.82,1.17,4.75,1.12,0,1.35,1.97,0,0,2.77,8.54,1.81,0,0,0,1.63,2.45,0,1.25,1.656428571
ENSG00000211594,IGKJ4,0.387702274,0.334436425,0.643331543,0,1.67,1.87,1.48,0,0.83,0,0,0,0,2.34,3.17,2.24,0,0,0.66,0,0,0,0,0,1.04,1.41,0.76,1.63,0,1.6,1.25,0.923809524
ENSG00000211595,IGKJ3,0.682239367,0.1612214,0.453628672,821.35,612.24,1146.03,1221.43,2548.9,1622.43,601.39,947.91,261.06,1124.24,173.12,242.43,1625.84,2008.1,408.49,569.31,1543.83,910.41,6168.83,6331.95,973.96,8795.52,6119.26,204.2,326.71,2220.57,2866.57,185.61,1302.084286
ENSG00000211597,IGKJ1,0.467694649,0.15950885,0.451825109,161.16,260.24,218.56,218.32,205.15,147.49,203.29,174.09,269.91,212.38,262.03,101.41,142.01,239.74,269.17,285.31,152.5,179.55,99.59,209.21,135.12,147.2,133.58,308.59,197.98,171.47,225.42,180.6,226.0878571
ENSG00000211598,IGKV4-1,0.683345939,0.0552366,0.260533474,2.83,1.67,7.47,2.21,1.06,3.31,0.77,3.83,5.53,1.64,0,4.75,0,0,0,2.62,0,1.26,13.83,2.13,3.63,3.11,0,0,0.81,6.12,0,0,1.932857143
ENSG00000211599,IGKV5-2,0.745685102,0.059597525,0.270209448,1.41,0.83,0.93,0,1.06,0.83,2.31,0.96,4.42,0,1.17,1.58,3.35,0,0,2.62,2.9,0,2.77,0,0,2.07,1.41,3.81,1.63,2.45,0,1.25,1.488571429
ENSG00000211611,IGKV6-21,1.369687468,0.005758753,0.084732964,0,2.5,1.87,1.48,0,0,2.31,1.91,2.21,0.82,0,3.17,2.24,0,2.71,0,0,2.53,0,0,2.72,0,0,1.52,1.63,2.45,0,7.52,1.594761905
ENSG00000168273,SMIM4,0.239795528,0.125173062,0.397510088,0,5,2.8,2.95,1.06,9.11,0.77,2.87,3.32,7.38,1.17,4.75,2.24,1.14,5.41,0,0,1.26,5.53,0,0.91,3.11,0,1.52,2.44,4.9,1.6,12.54,2.647857143
ENSG00000211632,IGKV3D-11,0.347692044,0.443510269,0.732582279,411.38,1407.98,494.09,638.01,402.85,362.93,729.22,432.35,1177,588.77,932.3,318.48,866.59,1083.39,910.31,1445.57,456.03,830.75,345.79,168.65,513.28,281.95,337.46,1509.41,981.77,705.49,556.37,545.56,867.6378571
ENSG00000211637,IGLV4-69,0.932950895,0.026573754,0.178404199,18.38,8.34,12.14,16.96,11.69,13.26,23.1,17.22,11.06,16.4,4.68,23.77,8.95,10.27,22.99,7.87,5.81,34.14,22.13,29.89,13.6,8.29,16.87,11.43,7.33,19.6,22.38,18.81,14.49333333
ENSG00000211638,IGLV8-61,0.898916293,0.062766493,0.27769133,1.41,3.34,12.14,2.95,7.44,5.8,4.62,2.87,1.11,3.28,2.34,11.09,3.35,0,4.06,1.97,11.62,2.53,24.9,8.54,3.63,7.26,4.22,2.29,2.44,8.57,0,8.78,4.510714286
ENSG00000211639,IGLV4-60,1.013959738,0.055397211,0.260826984,3343.35,3254.71,2777.74,2862.55,3832.92,2911.76,2744.38,2864.77,3323.03,3187.4,3414.54,2685.71,3258.4,3610.92,3516.78,3323.37,2946.79,2949.99,3549.15,4829.02,2773.16,3445.65,4483.99,3423.42,2843.47,3253.09,3466.11,1913.84,3286.51119
ENSG00000211640,IGLV6-57,1.348031092,0.01190218,0.120959634,1.41,0.83,0.93,0,0,0.83,0.77,0.96,0,2.46,0,1.58,1.12,0,0,1.97,4.36,0,0,0,1.81,1.04,0,5.33,0.81,1.22,0,0,1.107380952
ENSG00000211642,IGLV10-54,0.496472981,0.285568596,0.598330063,14.14,51.72,34.56,36.88,34.01,35.63,37.73,34.43,43.14,18.04,32.75,28.52,25.72,22.83,21.64,40.66,33.4,13.91,19.36,21.35,30.83,15.55,15.47,46.48,32.59,26.95,9.59,114.13,31.87571429
ENSG00000211643,IGLV5-52,0.027633615,0.881977269,0.956563379,219.12,162.65,266.19,191.03,149.87,213.78,255.65,206.61,233.41,185.32,176.63,313.73,152.07,154.12,205.6,188.24,225.11,175.76,276.63,215.62,200.41,149.27,134.98,185.91,175.99,151.88,249.41,556.84,203.1335714
ENSG00000211644,IGLV1-51,0.704538234,0.054898215,0.259851552,1.41,0.83,0,0.74,0,0,0,2.87,0,0.82,1.17,0,3.35,0,0,0,0,1.26,0,0,0,4.15,1.41,2.29,0.81,0,0,5.02,1.027857143
ENSG00000086730,LAT2,0.335542157,0.056614789,0.263320229,14.14,26.69,14.01,16.96,17.01,10.77,10.01,13.39,12.17,16.4,17.55,6.34,27.95,20.55,17.58,17.71,20.33,8.85,16.6,10.67,27.21,12.44,7.03,19.81,12.22,15.92,7.99,25.08,16.44738095
ENSG00000237883,DGUOK-AS1,0.310384521,0.016675902,0.142958601,760.56,688.14,660.34,740.53,622.88,1020.03,815.46,681.04,752.22,738.01,828.19,898.41,637.37,843.65,747.99,793.62,907.71,719.48,835.42,347.98,748.15,705.92,570.87,729.94,586.62,639.35,647.5,688.53,730.0380952
ENSG00000168275,COA6,0.52903971,0.006862031,0.092182325,1.41,0,0.93,0,0,0,0.77,0.96,2.21,0.82,2.34,0,2.24,2.28,0,0,0,5.06,0,6.4,1.81,0,2.81,1.52,0,1.22,0,0,1.02452381
ENSG00000211648,IGLV1-47,1.081201627,0.006594571,0.08982789,73.51,83.41,57.91,71.55,55.27,29,28.49,134.87,47.57,71.34,72.53,60.21,51.44,49.09,55.46,44.6,68.26,103.69,69.16,160.11,65.29,65.31,67.49,44.19,90.44,52.67,59.15,38.88,67.63
ENSG00000211649,IGLV7-46,1.193552805,0.022724143,0.16589256,4.24,0.83,0.93,1.48,4.25,2.49,1.54,1.91,0,3.28,1.17,0,0,2.28,0,1.97,1.45,1.26,0,0,0.91,1.04,2.81,0.76,1.63,0,0,2.51,1.386190476
ENSG00000211650,IGLV5-45,0.930900147,0.054848391,0.259690449,0,4.17,2.8,1.48,0,0,1.54,0,3.32,0.82,0,0,0,0,0,3.94,0,1.26,0,2.13,1.81,0,0,0.76,0.81,0,0,1.25,1.093809524
ENSG00000211651,IGLV1-44,0.790035013,0.057879796,0.26592272,1.41,0,3.74,6.64,3.19,4.97,8.47,2.87,0,1.64,2.34,12.68,4.47,2.28,2.71,3.28,0,2.53,2.77,0,2.72,3.11,1.41,6.1,4.07,3.67,0,1.25,2.904285714
ENSG00000211652,IGLV7-43,0.534629877,0.212264046,0.51863617,0,0,0.93,1.48,0,0.83,0.77,0,2.21,1.64,0,3.17,0,2.28,1.35,0.66,0,0,0,4.27,0,0,5.62,0,0,1.22,1.6,0,0.917857143
ENSG00000211653,IGLV1-40,0.765132123,0.062299307,0.276843182,2.83,3.34,6.54,1.48,7.44,9.94,1.54,3.83,2.21,3.28,0,11.09,2.24,3.42,1.35,3.28,7.26,15.17,5.53,32.02,3.63,10.37,5.62,4.57,5.7,2.45,9.59,2.51,5.055
