,gene_symbol,log2fold.FLU_vs_HC,p.FLU_vs_HC,p.adj.FLU_vs_HC,HC_1,HC_2,HC_3,HC_4,HC_5,HC_6,HC_7,HC_8,HC_9,HC_10,HC_11,HC_12,HC_13,HC_14,FLU_1,FLU_2,FLU_3,FLU_4,FLU_5,FLU_6,FLU_7,FLU_8,FLU_9,FLU_10,FLU_11,FLU_12,FLU_13,FLU_14,mean
ENSG00000145868,FBXO38,0.197593381,0.545214559,0.69181401,38.32,62.67,33.88,25.19,45.57,27.25,53.18,54.53,63.21,40.83,49.06,69.72,34.88,52.07,25.7,62.31,34.86,20.23,27.66,6.4,26.3,11.4,5.62,88.39,16.29,12.25,14.39,144.23,37.94642857
ENSG00000145901,TNIP1,0.478228424,0.024086362,0.073736566,587.61,640.99,544.75,582.79,484.49,550.54,480.97,718.99,600.96,680,600.2,632.17,789.96,653.6,413.9,766.73,517.03,447.62,318.12,149.44,514.19,300.61,134.98,663.65,560.55,404.19,284.58,949.39,534.6564286
ENSG00000145907,G3BP1,0.09404553,0.695472887,0.80587733,31.35,51.68,35.23,49.02,54.36,44.08,53.18,35.34,33.11,54.97,41.39,55.5,55.62,56.56,48.69,51.81,53.74,37.93,44.26,53.37,33.55,47.68,89.99,50.29,60.29,47.77,19.19,77.76,47.78690476
ENSG00000145908,ZNF300,0.473235063,0.037753982,0.103199293,56.9,57.17,46.07,63.32,49.57,48.08,57.81,76.75,73.24,53.4,56.72,50.76,47.13,43.09,66.28,81.33,30.5,63.22,49.79,40.56,33.55,36.28,56.24,98.29,70.88,79.61,43.17,62.71,53.16071429
ENSG00000145911,N4BP3,0.1749011,0.735832286,0.835426904,0,2.2,0,2.04,3.2,7.21,1.16,4.04,6.02,3.14,2.3,4.74,1.89,4.49,1.35,5.25,0,6.32,2.77,2.13,0.91,0,5.62,7.62,4.89,0,0,2.51,3.014285714
ENSG00000145912,NHP2,0.215998689,0.309755857,0.475377404,744.38,648.69,666.7,569.85,639.58,690.78,797.76,775.54,648.11,649.38,632.4,609.84,590.11,606.92,781.81,770.01,628.86,633.5,921.18,651.13,582.2,647.87,608.83,729.18,681.13,591.58,621.92,914.28,666.5752381
ENSG00000145916,RMND5B,0.235450921,0.548696948,0.695034127,2.32,1.1,0,4.08,3.2,4.01,2.31,6.06,0,1.57,0,4.06,0.94,3.59,0,0.66,2.9,3.79,0,0,0,1.04,0,3.81,1.63,0,1.6,1.25,1.476428571
ENSG00000145920,CPLX2,1.041586377,0.003250671,0.015603219,2.32,2.2,0,2.72,0.8,1.6,0,7.07,1,2.36,4.6,2.71,1.89,0,2.71,0.66,4.36,1.26,0,2.13,0,0,0,0,1.63,0,3.2,0,1.48
ENSG00000145936,KCNMB1,0.441626343,0.336320666,0.503308368,19.74,16.49,9.49,14.98,16.79,10.42,20.81,13.13,18.06,29.05,10.73,22.34,19.8,34.12,14.88,15.74,33.4,35.4,52.56,6.4,37.18,5.18,18.28,4.57,8.96,17.15,12.79,15.05,20.44857143
ENSG00000145949,MYLK4,0.335416262,0.596220781,0.732113177,23.23,60.47,27.1,17.02,11.99,48.88,21.97,26.26,8.03,9.42,45.99,14.89,27.34,26.93,16.23,11.15,85.69,58.17,16.6,132.36,65.29,11.4,15.47,19.81,6.52,7.35,28.78,27.59,29.76428571
ENSG00000145979,TBC1D7,-1.453581057,0.003225523,0.015502738,254.32,480.47,489.19,511.98,414.13,450.37,378.07,617,755.46,697.28,429.26,479.88,500.56,333.09,293.52,700.48,200.42,485.55,135.55,204.95,203.14,120.25,120.92,705.56,451.37,300.08,239.81,287.2,362.9457143
ENSG00000178607,ERN1,0.095090612,0.483271308,0.638706838,108,71.47,50.14,46.3,49.57,102.58,45.09,157.53,117.38,38.48,45.99,44,143.29,52.97,60.87,117.4,14.52,50.58,5.53,8.54,32.65,67.38,68.9,100.58,77.4,4.9,70.35,151.75,60.51619048
ENSG00000145982,FARS2,0.640246953,0.003750278,0.017508551,277.54,326.54,327.93,359.48,317.39,323.75,356.1,363.53,394.29,347.07,370.24,316.09,349.73,230.74,265.11,331.88,286.11,284.5,218.54,166.52,208.58,292.32,203.88,345.92,352.79,395.61,284.58,255.85,296.1611905
ENSG00000145990,GFOD1,1.147345168,0.112936184,0.231260545,13.94,13.19,12.2,19.74,19.19,8.82,10.41,28.27,26.09,18.85,15.33,28.43,40.53,17.06,16.23,19.02,13.07,13.91,8.3,21.35,14.51,11.4,4.22,19.81,21.18,13.47,9.59,51.42,18.53238095
ENSG00000145996,CDKAL1,2.128481895,1.57E-07,5.87E-06,25.55,24.19,14.91,11.57,21.59,27.25,23.12,27.27,32.1,20.42,18.4,28.43,21.68,17.96,29.76,25.58,14.52,30.35,22.13,6.4,14.51,9.33,28.12,23.62,25.26,6.12,6.4,13.8,20.52666667
ENSG00000248360,LINC00504,0.8908376,0.000146011,0.001338101,737.41,780.63,676.19,735.97,794.68,791.75,660.17,949.23,838.74,800.93,765.78,810.19,796.55,618.59,577.56,825.76,390.68,380.6,248.97,211.35,344.6,234.27,248.88,819.09,588.25,363.77,235.02,506.68,558.4533333
ENSG00000063169,BICRA,0.346355354,0.082456564,0.18386193,23.23,17.59,9.49,14.3,13.59,11.22,18.5,6.06,7.02,17.27,7.67,12.18,12.25,27.83,17.58,9.84,23.24,34.14,30.43,53.37,25.39,24.88,35.15,6.86,13.85,15.92,6.4,32.61,21.95452381
ENSG00000146007,ZMAT2,0.647970781,0.10453527,0.218736675,0,2.2,0,2.04,1.6,1.6,1.16,1.01,4.01,0.79,0.77,1.35,0,0.9,0,0,0,2.53,0,2.13,0,0,2.81,0,0.81,1.22,7.99,3.76,1.18547619
ENSG00000146021,KLHL3,0.027250682,0.923291921,0.956035928,1.16,0,1.36,2.04,0.8,4.01,3.47,2.02,1,2.36,0.77,0.68,2.83,1.8,6.76,0.66,0,0,0,2.13,0,0,0,2.29,1.63,1.22,0,1.25,1.188333333
ENSG00000146054,TRIM7,0.272323984,0.147698887,0.280280546,3.48,16.49,8.13,0.68,0,2.4,0,0,0,0.79,0.77,2.03,4.71,0,2.71,3.28,7.26,1.26,8.3,38.43,9.07,1.04,1.41,1.52,4.07,2.45,1.6,1.25,4.159285714
ENSG00000146066,HIGD2A,0.007921204,0.957524368,0.97636775,123.1,60.47,100.28,159.31,149.5,135.43,139.9,112.09,71.23,132.7,127.25,172.6,115.95,156.22,142.02,110.19,129.26,93.57,268.33,243.37,254.83,370.06,330.43,151.63,168.65,166.57,158.28,129.18,173.537381
ENSG00000146067,FAM193B,0.890308029,0.069082505,0.161919784,63.87,83.56,39.3,31.32,96.74,62.51,72.84,55.54,42.14,42.4,68.99,50.09,49.96,63.74,55.46,20.33,47.93,104.95,55.33,134.5,70.73,66.34,126.55,25.14,87.99,104.11,89.53,22.57,61.72738095
ENSG00000248367,AC008610.1,0.620937705,0.000123374,0.00116882,24.39,31.88,33.88,19.74,29.58,33.66,48.56,17.17,9.03,34.55,26.06,24.37,29.22,29.63,36.52,34.11,58.09,21.5,82.99,66.18,24.49,24.88,46.4,12.19,26.07,40.42,38.37,42.64,35.8252381
ENSG00000146070,PLA2G7,0.481316667,0.01585404,0.053727232,193.93,194.61,157.19,174.97,136.71,184.31,156.08,231.25,216.71,156.26,187.8,169.21,171.57,157.12,163.67,174.47,79.88,130.24,60.86,44.83,51.69,82.93,43.59,200.39,118.95,117.58,115.11,86.54,128.2580952
ENSG00000146072,TNFRSF21,0.822210406,0.016163688,0.05449964,102.19,118.74,131.44,83.06,96.74,160.27,117.93,127.24,141.46,128.78,131.08,129.28,124.43,102.35,87.92,109.53,59.55,111.27,69.16,153.71,67.11,75.67,129.36,93.72,85.55,112.68,108.72,43.9,101.2666667
ENSG00000146083,RNF44,0.641883241,0.016821646,0.056236664,3.48,7.7,2.71,2.04,6.4,8.01,6.94,3.03,5.02,3.93,3.07,4.06,5.66,0,2.71,5.9,1.45,1.26,0,14.94,6.35,1.04,0,2.29,4.89,1.22,6.4,3.76,3.683809524
ENSG00000146085,MMUT,1.04315221,1.73E-05,0.000237826,12.77,21.99,13.55,20.42,18.39,16.83,15.03,22.22,14.05,14.13,22.23,12.86,21.68,16.16,13.53,13.12,17.43,17.7,5.53,6.4,7.25,5.18,5.62,6.1,12.22,20.82,12.79,6.27,13.18761905
ENSG00000063176,SPHK2,0.257213871,0.584944887,0.723963124,1112.5,787.22,1052.91,1458.33,968.17,1218.88,941.12,921.96,902.95,1107.16,960.48,1093.78,1065.21,1116.87,937.36,889.38,1487.19,606.94,2074.72,1026.86,1856.33,1887.64,1037.69,1053.01,856.3,908.81,2262.24,1481.15,1241.984048
ENSG00000146094,DOK3,0.402657207,0.094089624,0.202388573,18.58,4.4,6.78,17.7,1.6,4.01,19.65,14.14,26.09,56.54,21.46,12.86,15.08,14.36,10.82,9.84,2.9,5.06,2.77,10.67,7.25,6.22,1.41,9.91,4.07,2.45,0,3.76,10.2047619
ENSG00000146112,PPP1R18,0.660753589,0.084131334,0.186385936,1816.23,1985.65,1978.43,1941.72,1881.18,1784.65,1863.75,1574.31,1691.52,2275.57,2217.61,2062.35,2221.87,2101.76,2062.73,1836.48,3289.54,1670.35,3156.34,1946.98,2613.55,2187.22,2332.69,1689.23,1769.63,2096.87,2035.22,1876.21,2178.317857
