,gene_symbol,log2fold.FLU_vs_HC,p.FLU_vs_HC,p.adj.FLU_vs_HC,HC_1,HC_2,HC_3,HC_4,HC_5,HC_6,HC_7,HC_8,HC_9,HC_10,HC_11,HC_12,HC_13,HC_14,FLU_1,FLU_2,FLU_3,FLU_4,FLU_5,FLU_6,FLU_7,FLU_8,FLU_9,FLU_10,FLU_11,FLU_12,FLU_13,FLU_14,mean
ENSG00000227200,AL162724.1,0.211576489,0.130570715,0.25681334,6.97,2.2,2.71,4.08,5.6,4.81,12.72,4.04,4.01,7.85,9.97,5.41,3.77,5.39,2.71,3.28,2.9,3.79,8.3,4.27,4.53,6.22,4.22,0,8.96,7.35,1.6,1.25,5.349047619
ENSG00000169246,NPIPB3,0.337839824,0.030869729,0.088812116,2.32,7.7,12.2,8.85,4,2.4,4.62,7.07,4.01,5.5,3.83,4.06,13.2,10.77,5.41,5.9,8.71,5.06,0,4.27,1.81,3.11,1.41,9.14,4.89,7.35,0,10.03,5.452380952
ENSG00000227232,WASH7P,0.031120575,0.806492411,0.882779135,0,1.1,2.71,3.4,0.8,0.8,0,1.01,0,3.14,1.53,4.74,0.94,2.69,0,1.31,1.45,0,0,0,0.91,1.04,0,0.76,2.44,1.22,1.6,1.25,1.141428571
ENSG00000008056,SYN1,0.129694208,0.829204668,0.898383551,1.16,7.7,2.71,0.68,0,4.01,6.94,1.01,2.01,0.79,2.3,2.03,6.6,12.57,6.76,10.49,4.36,7.59,13.83,6.4,0.91,4.15,4.22,2.29,1.63,3.67,4.8,3.76,5.042857143
ENSG00000090975,PITPNM2,0.096427728,0.660596027,0.780709908,16.26,17.59,8.13,12.94,14.39,12.82,5.78,11.11,11.04,17.27,11.5,20.98,20.74,18.85,13.53,25.58,14.52,11.38,24.9,34.16,31.74,21.77,18.28,17.52,17.92,23.27,15.99,41.39,17.88071429
ENSG00000227242,NBPF13P,0.14177692,0.537382354,0.685354119,31.35,14.29,18.97,8.85,15.99,14.42,18.5,16.16,16.05,10.99,15.33,23.69,7.54,21.55,36.52,11.15,26.14,39.2,69.16,121.69,30.83,55.98,47.81,21.33,30.15,30.62,39.97,23.83,29.20619048
ENSG00000253772,AC112191.1,2.111929486,3.47E-10,4.43E-08,36,34.08,27.1,27.91,8.79,56.1,42.78,24.24,6.02,10.99,26.83,3.38,14.14,39.5,52.75,7.87,75.52,49.31,19.36,61.91,78.9,11.4,30.93,14.48,14.67,17.15,54.36,21.32,32.10095238
ENSG00000227252,AC012063.1,2.818204049,0.000219349,0.001837839,4.65,4.4,1.36,2.04,4,2.4,5.78,3.03,4.01,4.71,2.3,2.03,1.89,2.69,1.35,4.59,2.9,1.26,2.77,0,0.91,0,0,2.29,3.26,2.45,0,5.02,2.295952381
ENSG00000227253,AL158834.2,0.011416051,0.947980345,0.970362901,0,0,0,0,0,0.8,1.16,0,2.01,3.14,1.53,1.35,0,4.49,1.35,1.97,0,1.26,0,2.13,0.91,0,0,0.76,3.26,1.22,0,1.25,0.895714286
ENSG00000169247,SH3TC2,0.170308072,0.600096578,0.734944931,9.29,2.2,9.49,6.13,15.19,4.01,11.56,3.03,6.02,7.07,8.43,16.92,11.31,22.45,12.17,5.25,4.36,24.02,27.66,23.48,14.51,24.88,23.9,9.91,14.67,11.02,11.19,13.8,13.02285714
ENSG00000227288,AL138799.1,1.220744362,1.48E-13,1.01E-10,3.48,5.5,2.71,1.36,3.2,2.4,5.78,5.05,4.01,2.36,3.83,2.71,1.89,2.69,1.35,0,1.45,1.26,0,0,0.91,1.04,0,5.33,2.44,2.45,1.6,2.51,2.400952381
ENSG00000090989,EXOC1,0.618036025,0.001690098,0.009323779,2.32,1.1,2.71,1.36,1.6,0.8,6.94,1.01,2.01,0,0.77,0,0.94,2.69,1.35,0.66,0,0,0,10.67,2.72,3.11,0,0.76,2.44,3.67,4.8,0,2.191190476
ENSG00000227345,PARG,0.77491689,0.000125937,0.001188398,3.48,4.4,5.42,2.04,4.8,4.81,3.47,7.07,2.01,0.79,6.13,2.71,2.83,0.9,6.76,5.25,5.81,3.79,0,2.13,2.72,2.07,0,7.62,5.7,2.45,0,7.52,4.099285714
ENSG00000227347,HNRNPKP2,1.98040319,1.74E-12,6.29E-10,1.16,3.3,0,2.72,0,1.6,0,0,1,1.57,0.77,0.68,5.66,1.8,1.35,1.31,0,1.26,0,0,1.81,3.11,1.41,3.05,1.63,2.45,1.6,0,1.558809524
ENSG00000100522,GNPNAT1,0.058989336,0.749812843,0.84481888,4.65,3.3,8.13,8.17,5.6,15.23,9.25,15.15,11.04,10.21,10.73,6.77,7.54,11.67,10.82,10.49,8.71,11.38,0,14.94,0.91,9.33,8.44,3.81,2.44,7.35,7.99,5.02,7.09047619
ENSG00000227355,AL359644.1,0.480933843,2.53E-05,0.000323631,4.65,8.8,12.2,14.98,7.2,8.01,8.09,7.07,12.04,8.64,11.5,12.86,12.25,6.28,1.35,11.81,4.36,15.17,2.77,2.13,9.98,7.26,1.41,9.91,13.85,14.7,11.19,2.51,8.569285714
ENSG00000227359,AC017074.1,0.191222922,0.701356332,0.810279623,0,0,1.36,0.68,3.2,3.21,0,4.04,1,1.57,0,1.35,0,2.69,1.35,0.66,4.36,2.53,0,2.13,0.91,0,0,0,4.89,3.67,1.6,3.76,1.507857143
ENSG00000227370,AC254562.1,0.029873414,0.799146278,0.878213257,2.32,0,0,0.68,0.8,0.8,0,3.03,1,0,0,1.35,3.77,0.9,2.71,1.31,0,1.26,0,0,0,2.07,0,2.29,5.7,3.67,0,1.25,1.16047619
ENSG00000227372,TP73-AS1,0.336468675,0.111493486,0.229182775,9.29,12.09,8.13,3.4,4.8,6.41,1.16,4.04,11.04,1.57,3.07,2.03,0,3.59,4.06,4.59,7.26,8.85,0,10.67,3.63,2.07,5.62,5.33,3.26,6.12,7.99,2.51,4.905
ENSG00000091039,OSBPL8,0.537861469,0.005375532,0.023265664,5.81,6.6,4.07,9.53,4.8,7.21,2.31,14.14,8.03,3.14,6.13,8.8,5.66,2.69,5.41,18.36,4.36,5.06,5.53,0,5.44,2.07,0,12.95,13.04,0,3.2,27.59,7.001666667
ENSG00000227398,KIF9-AS1,0.08889043,0.196746401,0.343988956,2.32,2.2,2.71,1.36,4.8,2.4,6.94,2.02,2.01,4.71,5.37,4.74,0.94,2.69,5.41,3.28,1.45,1.26,2.77,21.35,3.63,18.66,9.84,3.05,8.15,17.15,7.99,0,5.015
ENSG00000227403,LINC01806,0.321677828,0.007232009,0.029269007,5.81,13.19,8.13,7.49,9.59,12.02,1.16,27.27,20.07,14.92,11.5,12.86,19.8,4.49,17.58,25.58,8.71,3.79,5.53,12.81,15.42,8.29,5.62,12.95,18.74,13.47,6.4,32.61,11.62166667
ENSG00000169249,ZRSR2,0.866545206,6.57E-05,0.000699921,12.77,8.8,14.91,17.02,11.19,10.42,15.03,15.15,16.05,10.99,9.97,15.57,15.08,9.88,17.58,9.84,14.52,12.64,16.6,4.27,5.44,4.15,0,12.95,8.96,8.57,19.19,16.3,11.93833333
ENSG00000253797,UTP14C,0.482725262,0.001743663,0.009559891,389.03,344.14,341.48,328.84,262.23,364.62,246.26,428.16,557.82,164.11,108.08,213.21,180.05,134.67,465.3,331.88,275.94,409.69,387.28,416.29,152.35,347.26,277,379.45,272.94,327.02,511.6,639.62,306.8638095
ENSG00000227436,FCF1P1,0.098648837,0.728441023,0.830035983,11.61,7.7,6.78,8.85,8.79,8.82,2.31,11.11,10.03,6.28,6.9,6.77,10.37,11.67,8.12,6.56,2.9,6.32,8.3,6.4,8.16,1.04,4.22,8.38,8.15,2.45,1.6,10.03,7.251666667
ENSG00000227473,TSSK5P,0.143578728,0.419252655,0.582843574,0,5.5,1.36,2.04,5.6,6.41,0,15.15,1,3.93,6.13,3.38,2.83,8.08,4.06,2.62,2.9,5.06,0,0,2.72,4.15,0,6.86,2.44,1.22,6.4,1.25,3.263571429
ENSG00000169251,NMD3,0.974466809,1.68E-07,6.20E-06,296.13,269.37,369.94,360.84,410.93,391.87,352.63,311.02,311.01,504.9,347.24,353.31,349.73,412.99,461.24,258.42,413.92,433.71,511.76,491.01,555.9,337.93,871.77,272.01,466.04,438.48,345.33,208.19,412.5516667
ENSG00000227492,AL138921.1,-1.274868826,1.78E-08,1.04E-06,1429.53,643.19,989.22,2517.7,1470.24,997.7,978.12,2028.72,2600.48,1840.56,1023.34,2166.59,1938.12,1603.48,1870.66,1928.96,888.83,2083.83,1513.16,1274.5,2722.38,2149.9,2750.29,2883.2,1976.58,1954.79,1366.94,2238.66,1809.76881
ENSG00000227507,LTB,-1.536846024,1.72E-05,0.000237623,56.9,84.66,62.33,81.02,55.96,58.5,65.9,57.56,69.23,69.88,79.72,89.34,61.27,69.13,93.33,59.03,59.55,55.64,60.86,40.56,51.69,31.1,18.28,49.53,45.63,72.26,43.17,52.67,60.55285714
ENSG00000227508,LINC01624,0.191630902,0.112229468,0.230160183,4.65,2.2,2.71,2.04,0,1.6,0,5.05,0,0.79,3.83,1.35,0.94,5.39,0,1.97,1.45,0,0,0,0,1.04,4.22,3.81,5.7,9.8,0,2.51,2.062142857
ENSG00000227512,AL592301.1,0.853773282,1.76E-10,2.54E-08,3.48,0,0,0.68,3.2,0.8,0,1.01,0,2.36,1.53,0.68,0,0,0,1.31,1.45,0,0,0,0,1.04,1.41,3.05,1.63,4.9,0,3.76,1.238571429
ENSG00000227533,SLC2A1-AS1,0.546185574,0.361980828,0.52842035,1.16,2.2,2.71,0,0.8,1.6,1.16,2.02,1,0.79,1.53,1.35,0.94,0,4.06,0.66,1.45,3.79,5.53,2.13,0.91,1.04,0,4.57,2.44,2.45,3.2,1.25,2.09452381
ENSG00000227540,AC016394.2,0.016128962,0.890155026,0.936445148,9.29,9.9,14.91,6.81,22.39,18.43,16.19,7.07,18.06,14.13,15.33,16.92,15.08,12.57,35.17,15.09,26.14,27.82,52.56,44.83,25.39,23.84,63.27,11.43,22,18.37,38.37,89.04,24.45
ENSG00000253816,AC138866.1,0.783137944,0.000710205,0.004673955,353.03,469.48,384.85,384.67,259.03,435.94,295.98,387.77,463.51,212.8,258.33,329.62,319.56,227.14,307.04,436.16,339.85,260.48,171.51,172.92,296.54,208.36,144.83,507.46,268.87,425.01,262.2,521.73,312.2088095
ENSG00000227557,MTND3P9,1.237721093,1.54E-07,5.81E-06,10.45,7.7,9.49,8.85,8.79,8.01,12.72,3.03,14.05,10.99,12.26,6.09,14.14,8.08,6.76,17.71,11.62,10.12,5.53,6.4,5.44,2.07,4.22,8.38,9.78,9.8,3.2,42.64,9.643571429
ENSG00000227591,HSD11B1-AS1,1.313890758,0.003497048,0.016545283,0,1.1,4.07,2.04,4,0.8,2.31,3.03,4.01,2.36,3.83,6.77,5.66,6.28,0,5.9,4.36,0,2.77,0,1.81,1.04,0,3.05,4.89,0,1.6,3.76,2.383095238
ENSG00000253818,IGLV1-41,0.671543104,0.000497797,0.003536353,3595.31,1895.5,1500.09,1337.14,1551.79,1360.72,3162.12,1617.73,1135.71,1240.65,1099.22,1918.18,1887.22,2588.37,2551.02,1785.32,2410.88,1440.22,2439.87,3893.96,2988.99,1547.64,3675.49,1269.4,1335.37,1535.91,1373.33,1383.33,2018.266905
ENSG00000091129,NRCAM,0.14184739,0.2449341,0.402831967,0,3.3,2.71,2.72,4.8,8.82,3.47,4.04,1,14.92,1.53,2.71,1.89,0.9,1.35,2.62,0,0,0,0,1.81,0,0,5.33,2.44,1.22,0,0,2.116666667
ENSG00000169258,GPRIN1,0.063025869,0.697580211,0.807447213,58.06,45.08,40.65,49.7,51.17,48.88,69.37,44.43,30.1,45.54,50.59,67.01,52.79,47.58,56.81,81.33,53.74,98.63,74.69,119.55,77.08,149.27,87.18,54.1,153.17,68.59,91.13,99.08,67.45666667
ENSG00000227671,AL390728.4,0.24163164,0.157188076,0.293284114,3.48,6.6,6.78,4.77,4.8,10.42,2.31,10.1,5.02,5.5,6.13,0.68,8.48,3.59,6.76,17.05,1.45,5.06,5.53,2.13,1.81,2.07,5.62,3.81,4.07,12.25,17.59,2.51,5.74047619
ENSG00000227678,AL355581.1,0.756513425,0.009502956,0.036303237,9.29,5.5,6.78,4.77,2.4,8.01,4.62,4.04,3.01,8.64,7.67,5.41,12.25,8.08,22.99,11.15,14.52,15.17,24.9,25.62,14.51,37.32,8.44,7.62,13.04,6.12,33.57,8.78,12.12833333
ENSG00000227705,AL391097.2,1.037274436,0.004289653,0.019510268,3.48,1.1,5.42,8.85,12.79,7.21,4.62,20.2,12.04,7.07,7.67,7.45,3.77,8.98,6.76,9.84,0,7.59,0,2.13,2.72,4.15,7.03,13.72,8.15,7.35,6.4,5.02,5.937142857
ENSG00000169282,KCNAB1,0.707633921,0.195057583,0.341964932,1.16,5.5,2.71,5.45,4.8,2.4,6.94,3.03,8.03,3.93,6.13,4.74,8.48,1.8,9.47,2.62,10.17,10.12,5.53,4.27,4.53,3.11,4.22,6.1,6.52,3.67,6.4,22.57,6.223571429
ENSG00000091136,LAMB1,0.04386829,0.814597812,0.887937475,1.16,0,1.36,0.68,0.8,0,0,3.03,3.01,3.14,0,2.03,1.89,0,1.35,1.97,0,3.79,0,2.13,1.81,2.07,2.81,2.29,1.63,2.45,3.2,1.25,1.514285714
ENSG00000227730,MTND6P5,0.031350047,0.903493364,0.943540335,2.32,2.2,1.36,0.68,2.4,1.6,0,1.01,0,2.36,1.53,0,0.94,0.9,1.35,3.28,1.45,7.59,8.3,0,0.91,4.15,5.62,3.05,0.81,3.67,3.2,0,2.235714286
ENSG00000227740,LINC02803,0.134510819,0.06862119,0.161037629,2.32,0,2.71,0,2.4,2.4,0,1.01,0,0.79,1.53,0.68,0,0,0,0,4.36,0,0,0,3.63,7.26,0,0,0,0,0,0,1.402380952
ENSG00000227741,AL121987.2,0.16313913,0.707179591,0.813985108,8.13,4.4,5.42,6.13,4.8,2.4,3.47,5.05,4.01,3.93,3.07,8.12,3.77,3.59,9.47,5.9,7.26,5.06,0,2.13,1.81,2.07,0,4.57,1.63,1.22,0,7.52,4.130238095
ENSG00000169288,MRPL1,0.484724997,0.015955198,0.053948264,4.65,2.2,2.71,5.45,4.8,1.6,0,10.1,7.02,5.5,1.53,6.09,6.6,4.49,1.35,6.56,0,0,0,0,0,1.04,0,8.38,3.26,4.9,1.6,3.76,3.002619048
ENSG00000253829,AC067817.2,0.962698039,1.16E-09,1.20E-07,2765,2296.8,3043.53,2303.92,2871.73,6457.43,3697.43,2208.47,2775.05,2375.3,1736.22,2347.98,2070.1,2378.29,4157.92,2485.15,4449.96,3226.91,11618.43,9683.66,2977.2,13808.5,15251.74,3031.02,5165.5,4537.91,28728.09,2333.98,5099.272619
ENSG00000227782,AC002553.1,0.049906923,0.71910662,0.822755299,1.16,5.5,6.78,8.17,5.6,1.6,0,9.09,8.03,3.93,7.67,4.74,9.43,3.59,2.71,4.59,1.45,6.32,0,0,1.81,1.04,0,4.57,0.81,2.45,1.6,3.76,3.686904762
ENSG00000227788,MTCO3P43,0.397571043,0.000363941,0.002748605,183.48,138.53,17.62,104.17,131.11,221.18,58.96,119.16,49.16,74.6,115.75,96.11,77.3,95.17,246.17,9.18,107.47,91.04,381.75,429.1,136.93,617.81,1043.31,54.86,11.41,165.35,369.31,41.39,191.4666667
ENSG00000227799,AC012358.3,0.687208783,8.77E-05,0.000885743,1.16,3.3,8.13,0,5.6,6.41,6.94,3.03,2.01,2.36,4.6,1.35,1.89,2.69,4.06,7.21,5.81,8.85,2.77,2.13,5.44,14.51,9.84,2.29,4.07,8.57,4.8,10.03,4.689047619
ENSG00000166128,RAB8B,0.5389831,0.080658183,0.180759683,0,0,0,2.04,1.6,1.6,1.16,2.02,0,1.57,2.3,2.03,3.77,1.8,0,0.66,1.45,2.53,0,0,1.81,1.04,0,1.52,2.44,1.22,4.8,2.51,1.230238095
ENSG00000169291,SHE,0.554264097,0.018075419,0.059357077,4.65,1.1,2.71,4.08,1.6,2.4,0,1.01,0,0.79,2.3,1.35,0.94,0,0,0.66,0,3.79,0,0,2.72,3.11,0,1.52,0,0,1.6,5.02,1.404761905
ENSG00000227811,INKA2-AS1,0.394628705,0.10062712,0.212562512,2.32,4.4,2.71,4.08,3.2,0.8,4.62,3.03,1,3.93,2.3,6.77,3.77,6.28,1.35,2.62,1.45,2.53,0,6.4,2.72,3.11,2.81,0.76,4.89,0,11.19,0,3.095238095
ENSG00000008083,JARID2,0.19573661,0.280726322,0.442949633,0,1.1,2.71,0.68,0,1.6,1.16,2.02,3.01,1.57,0.77,1.35,0,0.9,2.71,1.97,0,3.79,2.77,2.13,0,0,0,0.76,0,0,3.2,5.02,1.305238095
ENSG00000227815,AL359265.1,0.506853017,0.014703075,0.050619463,1.16,3.3,5.42,2.04,2.4,0,0,1.01,1,0.79,0.77,2.71,2.83,0,1.35,0.66,0,3.79,2.77,2.13,1.81,6.22,1.41,3.05,2.44,1.22,4.8,0,1.983095238
ENSG00000227825,SLC9A7P1,0.591017372,0.00014873,0.001359637,4.65,4.4,6.78,2.04,6.4,5.61,1.16,2.02,8.03,8.64,2.3,9.48,7.54,8.08,4.06,12.46,8.71,0,0,2.13,8.16,6.22,1.41,4.57,7.33,7.35,4.8,11.29,5.403809524
ENSG00000227827,AC138969.3,0.700005144,0.000191529,0.001660137,52.26,56.07,36.59,32.68,60.76,38.47,43.93,33.32,56.18,45.54,54.42,67.68,60.33,57.46,64.93,46.57,74.07,78.4,110.65,108.88,108.82,234.27,184.2,54.86,98.58,69.81,129.5,72.74,77.04166667
ENSG00000227855,DPY19L2P3,0.262637185,0.021221064,0.06693017,2.32,1.1,1.36,0.68,1.6,0,0,0,0,0.79,0.77,2.71,3.77,2.69,0,0.66,4.36,3.79,0,4.27,3.63,7.26,0,0.76,4.07,3.67,1.6,0,1.907619048
ENSG00000227896,AL731569.1,-1.373411912,8.99E-07,2.28E-05,5.81,5.5,5.42,9.53,5.6,8.82,4.62,4.04,10.03,7.85,6.13,14.89,7.54,2.69,1.35,5.25,0,6.32,0,2.13,3.63,3.11,2.81,10.67,1.63,1.22,6.4,8.78,5.265
ENSG00000091140,DLD,0.302466668,0.102472471,0.215506064,76.64,92.36,86.73,101.44,83.15,126.62,89.03,121.18,115.38,90.3,118.05,108.97,86.73,64.64,94.68,112.16,69.71,116.33,63.62,38.43,80.71,111.95,95.61,155.44,134.43,189.84,148.68,141.72,100.8997619
ENSG00000227920,AL353597.1,0.246900308,0.27018037,0.431689501,37.16,25.29,25.75,19.74,35.18,32.05,42.78,29.28,54.18,13.35,23,41.29,23.57,17.96,27.05,37.39,11.62,46.79,19.36,12.81,9.98,23.84,12.65,26.67,26.07,25.72,51.16,22.57,25.79738095
ENSG00000100523,DDHD1,0.030927434,0.803762254,0.881036964,144,166.02,176.16,170.89,199.07,140.24,161.86,208.02,216.71,157.83,137.21,146.88,117.83,127.49,155.55,192.17,124.9,202.31,196.41,621.24,130.59,324.45,658.04,234.68,178.43,235.16,516.4,155.51,206.1783333
ENSG00000227946,AC007383.2,0.032171157,0.697661838,0.8075054,0,0,0,0,0,0.8,2.31,0,3.01,1.57,5.37,0.68,1.89,1.8,2.71,0.66,18.88,0,5.53,0,4.53,3.11,0,0,0.81,0,3.2,7.52,2.73
ENSG00000091157,WDR7,0.09710952,0.399470887,0.564368433,1.16,1.1,2.71,2.72,2.4,2.4,0,5.05,3.01,2.36,6.13,0.68,2.83,3.59,1.35,1.31,7.26,5.06,0,0,3.63,0,0,5.33,4.07,2.45,1.6,3.76,2.566904762
ENSG00000227953,LINC01341,0.094908944,0.527521469,0.677103766,2.32,2.2,0,2.72,4,3.21,1.16,2.02,2.01,5.5,2.3,1.35,2.83,2.69,5.41,3.94,0,1.26,2.77,0,0,0,0,2.29,4.07,0,0,6.27,1.969047619
ENSG00000227962,AL391994.1,0.311242925,0.089214577,0.194711432,22.06,7.7,4.07,10.21,11.99,8.82,16.19,9.09,11.04,14.92,6.13,17.6,16.03,11.67,6.76,15.09,7.26,8.85,5.53,32.02,29.02,14.51,49.21,9.91,9.78,11.02,17.59,10.03,16.4697619
ENSG00000227963,RBM15-AS1,0.373849315,0.000310757,0.002422704,0,3.3,4.07,4.08,0.8,5.61,6.94,5.05,6.02,3.14,4.6,3.38,4.71,1.8,4.06,5.25,1.45,2.53,0,0,3.63,1.04,5.62,8.38,4.89,1.22,3.2,3.76,3.365
ENSG00000072506,HSD17B10,0.530192289,0.016325629,0.054899138,8.13,5.5,2.71,8.17,7.2,10.42,19.65,11.11,6.02,6.28,3.83,8.12,8.48,6.28,17.58,13.12,10.17,3.79,2.77,12.81,11.79,8.29,5.62,14.48,14.67,1.22,3.2,21.32,9.488095238
ENSG00000227992,AC108463.1,1.930081371,0.000524055,0.003685272,2.32,2.2,0,2.72,0.8,0.8,0,1.01,2.01,0.79,0,1.35,2.83,0.9,0,1.31,2.9,0,2.77,0,3.63,0,1.41,0,0,1.22,0,0,1.024761905
ENSG00000228000,RPL7AP65,0.829344301,0.000543031,0.00378438,3.48,3.3,0,0.68,4,0.8,0,1.01,0,0.79,2.3,0,3.77,3.59,1.35,0,1.45,0,0,6.4,0,3.11,1.41,3.05,2.44,1.22,0,0,1.636904762
ENSG00000091164,TXNL1,-1.669609464,0.000486389,0.003466781,2.32,1.1,2.71,6.13,2.4,0,2.31,1.01,1,5.5,4.6,1.35,2.83,0.9,1.35,3.28,0,1.26,0,0,0.91,1.04,4.22,1.52,0.81,0,6.4,1.25,1.933333333
ENSG00000228013,IL6R-AS1,0.702147277,0.087612585,0.19216415,0,1.1,0,1.36,2.4,0,1.16,1.01,0,0.79,0.77,1.35,0,0.9,0,0,0,0,2.77,0,3.63,1.04,0,4.57,0,1.22,0,3.76,1.270952381
ENSG00000228049,POLR2J2,1.046201014,0.000420678,0.003080167,42.97,42.88,31.17,40.17,53.57,44.88,55.5,55.54,32.1,70.67,29.13,40.61,63.16,54.77,35.17,70.84,49.38,56.9,27.66,68.32,75.27,33.17,29.53,34.29,56.22,61.24,55.96,107.86,49.13261905
ENSG00000171595,DNAI2,0.117693343,0.460223674,0.618660545,2925.25,2123.09,2039.41,1855.93,2231.35,2441.77,2468.42,1845.95,1749.71,2060.42,2173.15,1956.09,1953.21,2348.66,1589.31,1700.05,1780.57,1662.77,2132.81,2794.51,2608.11,2081.49,2691.24,1552.08,1702.01,1810.26,3037.64,839.03,2074.096429
ENSG00000228057,SEC63P1,0.397010727,0.002822776,0.013939044,3.48,2.2,2.71,2.04,4.8,2.4,2.31,3.03,0,1.57,1.53,0.68,0,0.9,0,2.62,4.36,1.26,8.3,2.13,2.72,2.07,2.81,2.29,0.81,1.22,3.2,3.76,2.236904762
ENSG00000228058,LINC01736,0.451464209,0.0016063,0.008969087,2.32,2.2,0,2.72,3.2,3.21,4.62,2.02,4.01,3.93,2.3,2.03,3.77,6.28,2.71,1.97,1.45,2.53,2.77,8.54,0.91,2.07,1.41,3.05,1.63,3.67,4.8,0,2.86547619
ENSG00000169330,MINAR1,0.727145761,0.105492702,0.220050504,1.16,0,0,1.36,1.6,2.4,0,0,0,0,2.3,2.71,0.94,3.59,1.35,1.97,1.45,0,2.77,0,1.81,0,0,2.29,0,0,0,7.52,1.133095238
ENSG00000228078,HLA-U,1.032035061,0.00017426,0.001541056,0,1.1,0,0,0,0.8,5.78,2.02,0,0.79,2.3,1.35,2.83,0,1.35,0.66,1.45,2.53,30.43,0,9.07,19.7,2.81,1.52,0.81,1.22,3.2,6.27,3.971428571
ENSG00000228079,AC012368.2,0.819100418,1.58E-05,0.000221075,1.16,0,0,0,0.8,1.6,1.16,1.01,0,0,0,1.35,0,0,1.35,1.31,0,1.26,2.77,4.27,0,2.07,1.41,2.29,2.44,1.22,33.57,0,1.812380952
ENSG00000091262,ABCC6,0.347052456,0.03637055,0.100427366,0,2.2,1.36,2.72,0,3.21,1.16,0,2.01,0,0,0.68,0.94,0.9,2.71,0,0,0,0,0,0,0,0,4.57,0.81,0,1.6,5.02,1.024047619
ENSG00000228097,MTATP6P11,0.118301121,0.519744799,0.670195186,5.81,2.2,5.42,4.08,0.8,0.8,2.31,6.06,6.02,3.93,3.07,2.71,0.94,3.59,4.06,8.53,10.17,0,0,2.13,4.53,0,2.81,5.33,3.26,0,1.6,6.27,3.451904762
ENSG00000169359,SLC33A1,0.113185346,0.725088132,0.82738699,3.48,6.6,2.71,1.36,6.4,4.81,4.62,6.06,6.02,5.5,3.83,2.71,6.6,2.69,6.76,3.28,2.9,5.06,2.77,8.54,7.25,6.22,11.25,3.05,5.7,6.12,4.8,2.51,4.825
ENSG00000228110,ST13P19,0.276519444,0.10264605,0.215759925,2.32,1.1,0,2.72,0.8,0.8,0,1.01,0,1.57,1.53,0.68,0.94,1.8,0,2.62,1.45,1.26,5.53,0,4.53,5.18,0,0.76,4.89,1.22,1.6,0,1.637142857
ENSG00000169371,SNUPN,1.002604447,1.27E-05,0.000187121,0,1.1,1.36,2.04,0.8,0.8,1.16,5.05,1,3.93,4.6,2.71,3.77,1.8,0,2.62,1.45,0,8.3,0,2.72,1.04,5.62,1.52,4.89,1.22,1.6,7.52,2.696904762
ENSG00000228140,AL031283.1,1.036372246,1.94E-07,7.02E-06,0,4.4,0,0,2.4,0,8.09,0,0,0,3.83,4.06,0,1.8,6.76,0.66,0,0,16.6,0,0,8.29,11.25,0,0,4.9,0,0,2.888809524
ENSG00000228146,CASP16P,0.079849154,0.562871144,0.705733371,1.16,0,0,0.68,0,0,2.31,0,0,0.79,0.77,2.71,0.94,0.9,0,0,0,2.53,0,12.81,1.81,4.15,4.22,0,1.63,1.22,1.6,1.25,1.603333333
ENSG00000228158,TLE1P1,0.184619214,0.053581721,0.134094895,1.16,1.1,0,0,1.6,1.6,0,0,1,1.57,1.53,0.68,2.83,1.8,0,0.66,1.45,0,0,0,0,0,1.41,0,0,2.45,3.2,2.51,1.022857143
ENSG00000091409,ITGA6,0.16820232,0.176383144,0.317948952,99.87,61.57,39.3,55.15,61.56,50.49,67.06,87.85,62.2,88.73,88.92,76.48,67.87,76.31,120.38,40.66,46.47,101.16,55.33,324.5,122.43,70.49,66.09,75.43,87.99,112.68,123.1,62.71,82.76071429
ENSG00000253865,AC131025.1,0.226664314,0.138955393,0.268344903,1482.95,1288.59,1361.87,1267.7,1307.15,1291.81,1283.35,1315.79,1096.58,1422.04,1365.98,1323.91,1333.87,1256.93,963.06,1207.48,930.95,1035.59,1012.46,913.71,1453.69,1169.28,1410.3,1062.15,1066.5,1010.47,936.87,836.52,1192.867143
ENSG00000228203,RNF144A-AS1,0.53090487,0.045328509,0.118481069,1.16,0,0,2.04,0.8,4.81,0,3.03,0,0.79,3.83,1.35,1.89,0.9,1.35,5.25,0,0,0,0,0,4.15,0,3.81,0.81,0,3.2,5.02,1.402380952
ENSG00000228205,AC131235.2,0.061341544,0.721055796,0.824029406,20.9,10.99,13.55,23.83,28.78,5.61,10.41,9.09,8.03,24.34,17.63,9.48,17.91,9.88,12.17,17.71,2.9,42.99,19.36,49.1,23.58,35.24,63.27,14.48,39.92,29.4,97.52,21.32,23.27119048
ENSG00000169375,SIN3A,0.224577725,0.029385681,0.085449419,1344.76,1232.51,1416.07,1107.7,1232.8,1267.77,1291.44,1271.36,925.02,1375.71,1250.23,1147.25,1238.67,1133.03,1351.26,1204.2,839.45,801.67,876.91,1001.24,777.17,723.54,1040.5,1055.29,956.51,776.53,597.94,669.72,1087.186429
ENSG00000228223,HCG11,0.235021028,0.130550168,0.25681334,9.29,8.8,10.84,9.53,15.19,8.01,17.34,8.08,4.01,13.35,5.37,12.86,6.6,11.67,14.88,11.81,7.26,18.97,13.83,10.67,9.07,27.99,25.31,15.24,7.33,23.27,19.19,0,11.72595238
